 month,total_crime,total_suspect,theft,theft_suspect,violence,violence_suspect,drug,drug_suspect,drug_weight_g,crime_per_100_thousand,suspect_per_100_thousand,clearance_percentage,econ_index,recession,time,clearance_percentage_lag1,clearance_percentage_lag2,recession_lag1,recession_lag2,umemploy_people_1000 ,umemployment_rate,job_participation_rate,work_force_1000,non_work_force_1000,drug_lag1,drug_lag2,violence_lag1,violence_lag2
2001M03,40405,14235,28306,2656,989,688,2433,2888,81242.43,181.16,63.82,51.67,10,1,1,57.41,70.1,1,1,380,3.89,57.02,9758,7356,2073,3222,925,1206
2001M04,40765,14677,28241,2998,1014,679,2428,2895,54274.02,182.69,65.78,54.31,9,1,2,51.67,57.41,1,1,385,3.96,56.82,9734,7398,2433,2073,989,925
2001M05,42569,16099,28765,3370,1290,772,2664,3302,23952.57,190.69,72.12,55.3,9,1,3,54.31,51.67,1,1,411,4.22,56.84,9748,7402,2428,2433,1014,989
2001M06,39829,14183,27820,3043,1146,754,2310,2718,24517.72,178.33,63.5,52.92,9,1,4,55.3,54.31,1,1,442,4.51,57.09,9802,7367,2664,2428,1290,1014
2001M07,41603,14071,29111,3286,1322,845,2337,2697,819043.3,186.19,62.97,56.18,9,1,5,52.92,55.3,1,1,485,4.92,57.34,9855,7333,2310,2664,1146,1290
2001M08,44001,15966,29692,3560,1366,951,2816,3238,36772.88,196.82,71.42,57.81,11,1,6,56.18,52.92,1,1,512,5.17,57.51,9896,7312,2337,2310,1322,1146
2001M09,38999,13587,26934,3237,1139,733,2410,2763,33438.18,174.38,60.75,52.92,9,1,7,57.81,56.18,1,1,519,5.26,57.33,9875,7351,2816,2337,1366,1322
2001M10,45261,15306,31863,3625,1417,826,2283,2903,60846.81,202.28,68.41,52.36,9,1,8,52.92,57.81,1,1,527,5.33,57.35,9889,7355,2410,2816,1139,1366
2001M11,43391,16458,29427,3436,1281,875,2335,2727,29476.54,193.82,73.51,55.28,10,1,9,52.36,52.92,1,1,524,5.28,57.46,9919,7343,2283,2410,1417,1139
2001M12,41683,14039,29533,2719,1232,737,1807,2242,125446.06,186.09,62.68,48.3,15,1,10,55.28,52.36,1,1,519,5.22,57.53,9941,7339,2335,2283,1281,1417
2002M01,41405,13251,30042,2143,1046,507,1142,1382,35460.29,184.76,59.13,47.88,15,1,11,48.3,55.28,1,1,512,5.14,57.58,9959,7338,1807,2335,1232,1281
2002M02,38047,18632,25774,5910,1391,1361,2677,3045,49122.21,169.72,83.11,78.29,15,1,12,47.88,48.3,1,1,508,5.12,57.34,9928,7385,1142,1807,1046,1232
2002M03,43794,13935,30606,2581,1080,691,1855,2051,35854.68,195.28,62.14,49.38,20,0,13,78.29,47.88,1,1,513,5.16,57.29,9929,7401,2677,1142,1391,1046
2002M04,44458,13839,30883,2760,1082,577,2012,2321,29897.54,198.16,61.68,50.82,26,0,14,49.38,78.29,0,1,495,4.98,57.27,9935,7413,1855,2677,1080,1391
2002M05,43897,15143,30052,2777,1167,664,1994,2410,98454.06,195.58,67.47,52.75,25,0,15,50.82,49.38,0,0,499,5.02,57.31,9951,7413,2012,1855,1082,1080
