theft,clearance,recession,time,clearance_lag1,clearance_lag2,recession_lag1,recession_lag2,umemploy_ppl,umemploy_rate,job_partici,workforce,non_workforce,drug_lag1,drug_lag2,violence_lag1,violence_lag2
28306,51.67,1,1,57.41,70.1,1,1,380,3.89,57.02,9758,7356,2073,3222,925,1206
28241,54.31,1,2,51.67,57.41,1,1,385,3.96,56.82,9734,7398,2433,2073,989,925
28765,55.3,1,3,54.31,51.67,1,1,411,4.22,56.84,9748,7402,2428,2433,1014,989
27820,52.92,1,4,55.3,54.31,1,1,442,4.51,57.09,9802,7367,2664,2428,1290,1014
29111,56.18,1,5,52.92,55.3,1,1,485,4.92,57.34,9855,7333,2310,2664,1146,1290
29692,57.81,1,6,56.18,52.92,1,1,512,5.17,57.51,9896,7312,2337,2310,1322,1146
26934,52.92,1,7,57.81,56.18,1,1,519,5.26,57.33,9875,7351,2816,2337,1366,1322
31863,52.36,1,8,52.92,57.81,1,1,527,5.33,57.35,9889,7355,2410,2816,1139,1366
29427,55.28,1,9,52.36,52.92,1,1,524,5.28,57.46,9919,7343,2283,2410,1417,1139
29533,48.3,1,10,55.28,52.36,1,1,519,5.22,57.53,9941,7339,2335,2283,1281,1417
30042,47.88,1,11,48.3,55.28,1,1,512,5.14,57.58,9959,7338,1807,2335,1232,1281
25774,78.29,1,12,47.88,48.3,1,1,508,5.12,57.34,9928,7385,1142,1807,1046,1232
30606,49.38,0,13,78.29,47.88,1,1,513,5.16,57.29,9929,7401,2677,1142,1391,1046
30883,50.82,0,14,49.38,78.29,0,1,495,4.98,57.27,9935,7413,1855,2677,1080,1391
30052,52.75,0,15,50.82,49.38,0,0,499,5.02,57.31,9951,7413,2012,1855,1082,1080
26766,59.91,0,16,52.75,50.82,0,0,509,5.11,57.33,9963,7416,1994,2012,1167,1082
27376,69.05,0,17,59.91,52.75,0,0,523,5.23,57.44,9991,7404,2205,1994,1224,1167
28431,63.52,0,18,69.05,59.91,0,0,536,5.35,57.49,10010,7401,2260,2205,1255,1224
27205,56.84,0,19,63.52,69.05,0,0,531,5.32,57.24,9974,7452,2439,2260,1497,1255
29772,63.31,0,20,56.84,63.52,0,0,530,5.31,57.22,9981,7462,2280,2439,1312,1497
26972,62.04,0,21,63.31,56.84,0,0,522,5.22,57.29,10002,7457,2327,2280,1468,1312
26657,58.59,0,22,62.04,63.31,0,0,505,5.04,57.29,10011,7463,2144,2327,1209,1468
27148,68.66,0,23,58.59,62.04,0,0,504,5.03,57.34,10028,7460,2277,2144,1164,1209
22664,66.43,0,24,68.66,58.59,0,0,518,5.17,57.24,10019,7483,2809,2277,1322,1164
26775,59.73,0,25,66.43,68.66,0,0,509,5.08,57.23,10023,7492,1776,2809,889,1322
27428,59.86,1,26,59.73,66.43,0,0,493,4.92,57.21,10028,7501,2157,1776,1102,889
28485,57.62,1,27,59.86,59.73,1,0,499,4.98,57.13,10022,7520,2372,2157,1244,1102
29421,62.6,0,28,57.62,59.86,1,1,512,5.09,57.26,10054,7504,2144,2372,1246,1244
30764,51.75,0,29,62.6,57.62,0,1,522,5.16,57.55,10115,7460,2082,2144,1439,1246
29235,56.8,0,30,51.75,62.6,0,0,529,5.21,57.65,10142,7451,2056,2082,1148,1439
28254,56.64,0,31,56.8,51.75,0,0,510,5.05,57.32,10094,7516,2095,2056,1065,1148
29201,53.49,0,32,56.64,56.8,0,0,497,4.92,57.34,10109,7521,1984,2095,995,1065
25653,57.34,0,33,53.49,56.64,0,0,477,4.71,57.4,10131,7518,2109,1984,928,995
25627,56.7,0,34,57.34,53.49,0,0,465,4.58,57.44,10148,7520,2035,2109,777,928
21579,70.06,0,35,56.7,57.34,0,0,460,4.53,57.44,10157,7527,1861,2035,811,777
23766,61.74,0,36,70.06,56.7,0,0,468,4.61,57.38,10154,7544,2708,1861,829,811
26489,56.03,0,37,61.74,70.06,0,0,452,4.45,57.41,10168,7542,2474,2708,839,829
25662,63.48,0,38,56.03,61.74,0,0,444,4.36,57.42,10176,7545,2423,2474,807,839
27950,60.07,0,39,63.48,56.03,0,0,450,4.41,57.59,10214,7520,2586,2423,810,807
26989,60.59,0,40,60.07,63.48,0,0,466,4.54,57.79,10257,7491,2758,2586,912,810
27353,61.21,0,41,60.59,60.07,0,0,476,4.62,58.01,10305,7458,2692,2758,887,912
28514,59.57,0,42,61.21,60.59,0,0,481,4.67,58.04,10318,7460,3577,2692,911,887
30533,58.72,0,43,59.57,61.21,0,0,461,4.5,57.6,10249,7545,3726,3577,1171,911
31509,58.25,0,44,58.72,59.57,0,0,443,4.31,57.71,10280,7532,3497,3726,1400,1171
30657,60.04,0,45,58.25,58.72,0,0,426,4.14,57.75,10296,7533,3526,3497,1474,1400
29319,54.63,0,46,60.04,58.25,0,0,422,4.09,57.77,10309,7536,4091,3526,1356,1474
26598,65.32,0,47,54.63,60.04,0,0,419,4.06,57.78,10320,7541,3289,4091,1310,1356
21179,61.58,0,48,65.32,54.63,0,0,441,4.28,57.71,10316,7561,5266,3289,1113,1310
27367,61.9,0,49,61.58,65.32,0,0,428,4.15,57.61,10305,7583,3496,5266,894,1113
26845,61.07,0,50,61.9,61.58,0,0,417,4.04,57.63,10316,7586,3842,3496,1125,894
27633,63.47,0,51,61.07,61.9,0,0,424,4.1,57.72,10343,7575,3961,3842,1141,1125
27321,62.36,0,52,63.47,61.07,0,0,437,4.22,57.75,10357,7578,4241,3961,1280,1141
27924,64.85,0,53,62.36,63.47,0,0,449,4.32,57.87,10390,7564,3990,4241,1163,1280
29969,68.71,0,54,64.85,62.36,0,0,454,4.36,58.02,10427,7546,4750,3990,1130,1163
29157,60.8,0,55,68.71,64.85,0,0,430,4.14,57.7,10381,7609,4866,4750,1280,1130
29980,59.66,0,56,60.8,68.71,0,0,424,4.07,57.84,10417,7593,4433,4866,1328,1280
28092,61.98,0,57,59.66,60.8,0,0,411,3.94,57.88,10435,7594,4144,4433,1243,1328
26089,56.39,0,58,61.98,59.66,0,0,403,3.86,57.85,10440,7608,3616,4144,1311,1243
24951,69.83,0,59,56.39,61.98,0,0,397,3.8,57.76,10435,7631,2847,3616,1293,1311
23077,66.73,0,60,69.83,56.39,0,0,408,3.92,57.6,10414,7667,4559,2847,1107,1293
23913,58.75,0,61,66.73,69.83,0,0,404,3.87,57.65,10434,7664,3318,4559,1182,1107
24232,64.13,0,62,58.75,66.73,0,0,395,3.78,57.65,10443,7672,3392,3318,1341,1182
24485,63.56,0,63,64.13,58.75,0,0,402,3.84,57.72,10466,7667,3811,3392,1029,1341
22786,66.09,0,64,63.56,64.13,0,0,418,3.98,57.79,10491,7661,3406,3811,1068,1029
23721,70.15,0,65,66.09,63.56,0,0,428,4.05,58.12,10562,7611,3150,3406,1015,1068
24884,74.23,0,66,70.15,66.09,0,0,434,4.09,58.29,10604,7589,3838,3150,892,1015
