 date,total_vehicle,total_automobile,total_motorcycle,total_vehicle_incr,auto_incr,motor_incr,total_accident,"accident_per_10,000vehicle",death,injured,time
2000M02,16423704,5395403,11028301,47826,10618,37208,3086,1.88,218,3847,1
2000M03,16458347,5392777,11065570,34643,-2626,37269,3525,2.14,293,4368,2
2000M04,16532431,5406194,11126237,74084,13417,60667,3753,2.28,259,4682,3
2000M05,16560218,5421514,11138704,27787,15320,12467,4400,2.66,275,5575,4
2000M06,16618046,5442371,11175675,57828,20857,36971,4480,2.7,311,5588,5
2000M07,16679251,5460837,11218414,61205,18466,42739,4555,2.74,282,5876,6
2000M08,16771059,5512973,11258086,91808,52136,39672,4691,2.8,286,5928,7
2000M09,16845887,5538202,11307685,74828,25229,49599,4581,2.73,272,5848,8
2000M10,16919426,5563793,11355633,73539,25591,47948,5313,3.15,310,6831,9
2000M11,16968352,5578243,11390109,48926,14450,34476,5126,3.03,306,6454,10
2000M12,17022689,5599517,11423172,54337,21274,33063,5549,3.26,334,7108,11
2001M01,17074074,5627706,11446368,51385,28189,23196,5439,3.19,356,6778,12
2001M02,17121351,5643186,11478165,47277,15480,31797,4573,2.67,274,5655,13
2001M03,17171744,5658980,11512764,50393,15794,34599,5513,3.22,290,6909,14
2001M04,17189428,5662231,11527197,17684,3251,14433,5261,3.06,278,6640,15
2001M05,17228532,5678132,11550400,39104,15901,23203,5497,3.19,293,6847,16
2001M06,17269620,5692999,11576621,41088,14867,26221,5124,2.97,251,6528,17
2001M07,17312924,5705860,11607064,43304,12861,30443,5318,3.08,258,6758,18
2001M08,17360978,5719648,11641330,48054,13788,34266,5581,3.22,277,7098,19
2001M09,17406748,5726881,11679867,45770,7233,38537,4896,2.82,233,6045,20
2001M10,17435691,5727976,11707715,28943,1095,27848,5687,3.26,272,7267,21
2001M11,17465820,5738327,11727493,30129,10351,19778,5773,3.31,282,7155,22
2001M12,17465037,5731835,11733202,-783,-6492,5709,5602,3.21,280,6932,23
2002M01,17508750,5758288,11750462,43713,26453,17260,6147,3.52,293,7604,24
2002M02,17544368,5770243,11774125,35618,11955,23663,5202,2.97,201,6552,25
2002M03,17567184,5770156,11797028,22816,-87,22903,5998,3.42,232,7548,26
2002M04,17596468,5778578,11817890,29284,8422,20862,6427,3.66,236,8165,27
2002M05,17644900,5797416,11847484,48432,18838,29594,6973,3.96,235,8885,28
2002M06,17695136,5815164,11879972,50236,17748,32488,6775,3.83,233,8491,29
2002M07,17750170,5834441,11915729,55034,19277,35757,7585,4.28,224,9698,30
2002M08,17799150,5847409,11951741,48980,12968,36012,7632,4.29,234,9777,31
2002M09,17853306,5862898,11990408,54156,15489,38667,7393,4.15,232,9427,32
2002M10,17876542,5883473,11993069,23236,20575,2661,8659,4.85,250,11227,33
2002M11,17894423,5902692,11991731,17881,19219,-1338,8809,4.93,233,11279,34
2002M12,17906957,5923200,11983757,12534,20508,-7974,8659,4.84,258,10941,35
2003M01,17951937,5952790,11999147,44980,29590,15390,10175,5.68,277,12950,36
2003M02,17967139,5955519,12011620,15202,2729,12473,7977,4.44,209,10384,37
2003M03,18002305,5968580,12033725,35166,13061,22105,9798,5.45,204,12680,38
2003M04,18034555,5983009,12051546,32250,14429,17821,9705,5.39,208,12516,39
2003M05,18085551,6005145,12080406,50996,22136,28860,9772,5.41,213,12557,40
